sale_id,表示順,バッジ,バッジ色,名称,クーポン,URL
2026-06-ss,1,SALE 30%OFF,d30,大磯ロングビーチ（大磯プリンスホテル内）前売りチケット,国内30%(リワード) / 国内5%・10%,https://experiences.travel.rakuten.co.jp/experiences/62585
2026-06-ss,2,SALE 20%OFF,d20,VIE presents ZEN NIGHT 京都 東福寺 夜間プレミアム拝観 入場チケット,国内30%(リワード) / 国内5%・10%,https://experiences.travel.rakuten.co.jp/experiences/60743
2026-06-ss,3,フェス,sale,[7/24〜26] FUJI ROCK FESTIVAL '26 Eチケット,国内5%・10%,https://experiences.travel.rakuten.co.jp/experiences/62510
2026-06-ss,4,フェス,sale,『OSAKA GIGANTIC MUSIC FESTIVAL 2026 -THANKS 10TH GIGA-』入場Eチケット,国内5%・10%,https://experiences.travel.rakuten.co.jp/experiences/62579
2026-06-ss,5,SALE 10%OFF,d10,新江ノ島水族館 入場Eチケット,国内30%(リワード) / 国内5%・10%,https://experiences.travel.rakuten.co.jp/experiences/34960
2026-06-ss,6,体験,sale,JUNGLIA OKINAWA（ジャングリア沖縄）Eチケット,国内5%・10%,https://experiences.travel.rakuten.co.jp/experiences/62313
2026-06-ss,7,体験,sale,鴨川シーワールド 入館チケット（即日発券）,国内5%・10%,https://experiences.travel.rakuten.co.jp/experiences/62352
2026-06-ss,8,展覧会,sale,展覧会「ピカソ meets ポール・スミス 遊び心の冒険へ」入場チケット,国内5%・10%,https://experiences.travel.rakuten.co.jp/experiences/62478
2026-06-ss,9,体験,sale,東京サマーランド 感謝デー チケット 予約,国内5%・10%,https://experiences.travel.rakuten.co.jp/experiences/51601
2026-06-ss,10,SALE 10%OFF,d10,キッザニア東京 入場予約 eチケット,国内30%(リワード) / 国内5%・10%,https://experiences.travel.rakuten.co.jp/experiences/40115
2026-06-ss,11,体験,sale,飯能 ムーミンバレーパーク 1デーパス 前売りEチケット,国内5%・10%,https://experiences.travel.rakuten.co.jp/experiences/25531
